968.9,-1.1,3.8,-3.7,0.42,0,3.8,7,7.8,1.6,20.3,-7.1,24.4
966.1,-2.2,3.2,-6.4,0.44,0,2,5,8.5,-0.9,20.6,-9.1,24.1
965.5,-1.6,1.8,-4.7,0.37,0,3.5,8.3,0.3,-2.3,7.8,-8.1,23.1
965.8,-1.6,2.5,-3,0.6,0,1.3,5.7,2.3,-1.4,10.2,-4.8,21.7
967,-2,2.8,-5.4,0.67,0,1.5,3.7,0,-0.1,13.6,-8,22.8
965.2,0.2,4.8,-3.6,0.65,0,2.8,5,0.4,2.1,14.7,-6.2,21.1
960.6,1.4,7.3,-2.5,0.65,0,2.3,6.3,6.7,4.5,22.7,-4.3,21.6
955.3,1.6,5.6,-1.7,0.71,0,2.8,7,0,2.3,13.7,-4.6,21.1
959.3,1.4,3.7,-0.5,0.81,0,1.3,3,0,1.7,7.7,-3.2,18.6
963.1,2.2,6.5,-1.6,0.81,0,1.3,4,0,3.5,17,-3.4,17.7
965.4,2.5,7.9,-1.7,0.78,0,1.3,3,0,2.8,18.6,-4.3,17.3
967.2,4.8,10.4,-0.3,0.62,0,2,4.3,0.9,5.7,23.2,-4.8,16.5
959.1,4.7,13.5,-1.5,0.57,0,3,6,9.1,7.4,31.5,-4.8,15.8
964.1,2.2,6.9,-1.4,0.68,0,2.5,7,0,2.6,12.3,-1.7,16.7
963.7,2.1,5.8,-1.4,0.72,0.6,2.3,6,0,1.1,7.8,-4.8,18.5
974.5,2.3,3.8,0,0.45,2.7,4.5,10,0,0.4,5.2,-1.2,16.9
970.6,0.5,6.8,-4,0.6,0,4.5,9,5.6,3.3,19.4,-5.7,15.7
972.8,0,2.9,-1.2,0.87,2.4,1.8,7,0,1.4,4.7,-0.9,12.2
972.1,2.4,7.3,-0.7,0.78,0,1,3,4,6.1,23.5,-0.4,13.9
966.7,2.2,8.1,-2.3,0.78,0,2.3,3.7,0,3.8,16.1,-3.2,15.2
971.6,4.9,10.4,1,0.37,0,4.5,12,7.8,7.1,29.4,-2.3,15
973.9,2.5,6.7,-0.9,0.43,0,3,7,0,1.9,11.4,-4.3,13.7
972.1,2.8,7.6,-1.4,0.66,0,1.5,3.3,0.7,3.9,24.6,-4.3,13.4
966.6,4.3,12.3,-2.5,0.65,0,1.3,2.3,7.6,7.5,35.3,-4.7,13.1
963.9,7.4,14.6,0.2,0.53,0,1.5,3.3,5.7,9.6,31.5,-2.5,14.4
965,8.6,13.5,4.2,0.54,0,1.8,4,3.9,11.8,34.4,3.1,14.8
964.4,7.8,13.6,3.2,0.58,0,2.5,6,5.1,10.5,32.9,0.5,15.7
966.6,8.9,13.9,5.3,0.37,0,3.5,10.3,8,12.7,34.1,2.7,17.7
963.8,8.4,13.5,2.4,0.42,0,4.3,6.3,5.2,9.5,29.5,-0.6,16.2
957.1,8.8,15.7,2,0.58,0,3.3,6,7.2,13.3,39.4,-1.5,14.8
951.9,9.8,16.3,4.1,0.63,0,2.3,5.7,3.6,9.9,29,0.1,13.7
957,9.9,12.3,6.4,0.54,0,4.5,11,0,8.2,13.3,4.2,11.4
961.2,7.7,13.8,0.5,0.55,0,3.3,5.7,6.9,11.3,35.7,-3.3,11.5
954.7,6.8,10.3,5.1,0.79,3.2,3.3,5.3,0,8.4,16.6,4.9,16.8
952.4,8.4,12.3,5.4,0.83,0,1.8,4,0,13.2,29,5.7,17.8
965.6,8.4,12.8,3.7,0.32,0,5,9.3,0,7.1,18.7,0.3,14
968.3,5.3,12.7,-1.9,0.58,0,3,5,3.4,8.4,32.5,-4.8,14
966,8.1,15.9,0.3,0.41,0,2.5,6,10.1,12.4,40.6,-4,15.8
963.5,10.9,18.5,2.4,0.33,0,4.5,7,9.9,13.6,39.6,-1.4,13.9
959,13.3,19.8,1.8,0.4,0,2.3,5,9.7,17.7,44.9,2.3,9.78
959,13.7,17.8,9.2,0.51,0,2.05,13,0,15.8,35.8,6.5,8.83
961,12.8,16.8,6.2,0.28,0,1.8,9,10.5,16.5,44.1,-0.4,8.11
958.4,10.3,15.1,5.9,0.61,0,1.8,3.7,1.4,14.4,37.3,3.7,8.16
958.6,9.9,15.2,4.8,0.78,0.6,1.8,4,0,12.7,30.7,2.2,9.33
957.2,12.4,20.6,6.1,0.78,0.1,3.5,6.7,8.5,16.4,40.1,3.1,8.16
948.4,14.4,24.5,4.2,0.54,0,2.8,3.7,10.7,19.1,50.5,0.6,6.23
943,18.2,27.1,9.4,0.43,0,3.5,6,9.2,23,51.4,5.1,5.79
948.2,14.6,20.8,12.7,0.77,13,3.8,6,0,14.5,19.1,13,6.3
955.4,13.7,18.3,10.2,0.79,0,4,9,3.5,14.9,25.6,8.8,12.1
959,13,17.9,7.9,0.46,0,7.3,9,9.1,15.7,33,4.4,15.7
959.6,6.7,14.2,4,0.74,12.2,4.5,8.3,0,6.8,13,5,14.9
959.6,7.7,12.8,4.1,0.86,0.1,1.3,4,2.2,11.2,26,4.2,22
957.8,10.8,17.2,1.5,0.85,0,1.5,3,6.1,14.3,30.7,1.3,24.3
